Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2018,A,0,_X,A,N,EG_ACS_ELEC,72,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,74,,PT,99.2
2012,A,0,_X,A,N,EG_ACS_ELEC,74,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,74,,PT,99.6
2016,A,0,_X,A,N,EG_ACS_ELEC,74,,PT,99.9
2018,A,0,_X,A,N,EG_ACS_ELEC,74,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,75,,PT,97.8
2012,A,0,_X,A,N,EG_ACS_ELEC,75,,PT,98.3
2014,A,0,_X,A,N,EG_ACS_ELEC,75,,PT,98.3
2016,A,0,_X,A,N,EG_ACS_ELEC,75,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,75,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,77,,PT,99
2012,A,0,_X,A,N,EG_ACS_ELEC,77,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,77,,PT,99.7
2016,A,0,_X,A,N,EG_ACS_ELEC,77,,PT,99.6
2018,A,0,_X,A,N,EG_ACS_ELEC,77,,PT,99.9
2010,A,0,_X,A,N,EG_ACS_ELEC,79,,PT,99.8
2012,A,0,_X,A,N,EG_ACS_ELEC,79,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,79,,PT,99.6
2016,A,0,_X,A,N,EG_ACS_ELEC,79,,PT,99.8
2018,A,0,_X,A,N,EG_ACS_ELEC,79,,PT,99.9
2010,A,0,_X,A,N,EG_ACS_ELEC,80,,PT,99.2
2012,A,0,_X,A,N,EG_ACS_ELEC,80,,PT,99.3
2014,A,0,_X,A,N,EG_ACS_ELEC,80,,PT,99.6
2016,A,0,_X,A,N,EG_ACS_ELEC,80,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,80,,PT,99.2
2010,A,0,_X,A,N,EG_ACS_ELEC,82,,PT,99.9
2012,A,0,_X,A,N,EG_ACS_ELEC,82,,PT,100
2014,A,0,_X,A,N,EG_ACS_ELEC,82,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,82,,PT,100
2018,A,0,_X,A,N,EG_ACS_ELEC,82,,PT,99.5
2010,A,0,_X,A,N,EG_ACS_ELEC,83,,PT,97.7
2012,A,0,_X,A,N,EG_ACS_ELEC,83,,PT,98.9
2014,A,0,_X,A,N,EG_ACS_ELEC,83,,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,83,,PT,99.6
2018,A,0,_X,A,N,EG_ACS_ELEC,83,,PT,99.6
2010,A,0,_X,A,N,EG_ACS_ELEC,84,,PT,93.5
2012,A,0,_X,A,N,EG_ACS_ELEC,84,,PT,95.3
2014,A,0,_X,A,N,EG_ACS_ELEC,84,,PT,97.5
2016,A,0,_X,A,N,EG_ACS_ELEC,84,,PT,99.3
2018,A,0,_X,A,N,EG_ACS_ELEC,84,,PT,98.8
2010,A,0,_X,A,N,EG_ACS_ELEC,86,,PT,98.1
2012,A,0,_X,A,N,EG_ACS_ELEC,86,,PT,99.4
2014,A,0,_X,A,N,EG_ACS_ELEC,86,,PT,99.2
2016,A,0,_X,A,N,EG_ACS_ELEC,86,,PT,99.6
2018,A,0,_X,A,N,EG_ACS_ELEC,86,,PT,99.6
2010,A,0,_X,A,N,EG_ACS_ELEC,87,,PT,98.9
2012,A,0,_X,A,N,EG_ACS_ELEC,87,,PT,99.1
2014,A,0,_X,A,N,EG_ACS_ELEC,87,,PT,99.4
2016,A,0,_X,A,N,EG_ACS_ELEC,87,,PT,99.8
2018,A,0,_X,A,N,EG_ACS_ELEC,87,,PT,99.9
2010,A,0,_X,A,N,EG_ACS_ELEC,89,,PT,93.2
2012,A,0,_X,A,N,EG_ACS_ELEC,89,,PT,96.1
2014,A,0,_X,A,N,EG_ACS_ELEC,89,,PT,99.3
2016,A,0,_X,A,N,EG_ACS_ELEC,89,,PT,99.5
2018,A,0,_X,A,N,EG_ACS_ELEC,89,,PT,99.1
2010,A,0,_X,A,N,EG_ACS_ELEC,91,,PT,90
2012,A,0,_X,A,N,EG_ACS_ELEC,91,,PT,92.5
2014,A,0,_X,A,N,EG_ACS_ELEC,91,,PT,95.7
2016,A,0,_X,A,N,EG_ACS_ELEC,91,,PT,99.2
2018,A,0,_X,A,N,EG_ACS_ELEC,91,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,92,,PT,99.7
2012,A,0,_X,A,N,EG_ACS_ELEC,92,,PT,99.7
2014,A,0,_X,A,N,EG_ACS_ELEC,92,,PT,99.6
2016,A,0,_X,A,N,EG_ACS_ELEC,92,,PT,99.7
2018,A,0,_X,A,N,EG_ACS_ELEC,92,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,93,,PT,98.6
2012,A,0,_X,A,N,EG_ACS_ELEC,93,,PT,98.9
2014,A,0,_X,A,N,EG_ACS_ELEC,93,,PT,99.8
2016,A,0,_X,A,N,EG_ACS_ELEC,93,,PT,99.1
